ResponseId,Climate_Belief,Climate_Policy_Support,Cliamte_Info_Sharing,No_Trees_Planted,Age,Edu,Conservatism ,Income,SES,PerceivedSciConsenss,,,,,,,,,,,,,,,,,,
R_00Ml7sk0p61ZwKR,28.25,33.44444,,8,51,4,6,9,8,71,,,,,,,,,,,,,,,,,,
R_00O9t08Hqlwx7cB,82.5,69,1,8,28,3,28,6,7,72,,,,,,,,,,,,,,,,,,
R_00siryCwgdMus6J,57.5,80.22222,0,0,53,3,46,5,7,65,,,,,,,,,,,,,,,,,,
R_00WSmrFZk2S1W01,80,76,0,8,70,4,,5,6,66,,,,,,,,,,,,,,,,,,
R_00Xe4i8e6K15Fhn,63.5,44,1,8,45,2,67,3,6,71,,,,,,,,,,,,,,,,,,
R_01Dk8n4Lu5gnlLz,62.5,63.11111,1,8,53,3,,4,5,67,,,,,,,,,,,,,,,,,,
R_01w5Go0uoRyOYeZ,99.75,89,,8,51,3,16,5,8,75,,,,,,,,,,,,,,,,,,
R_022J3C5TTHfksk9,2,19.11111,1,0,50,3,89,5,4,72,,,,,,,,,,,,,,,,,,
R_02INUWgpaNjil6V,33.5,63.25,1,8,32,2,71,6,3,20,,,,,,,,,,,,,,,,,,
R_033cYDMQBr3AkSJ,64,65.88889,,2,23,2,47,2,4,70,,,,,,,,,,,,,,,,,,
R_03BfMdCjwIjkFSV,100,93.22222,,8,72,4,2,5,7,99,,,,,,,,,,,,,,,,,,
R_03uFkFyShgKSTG9,25.25,20.44444,0,3,51,3,68,5,6,55,,,,,,,,,,,,,,,,,,
R_06B95eOk91ow8QF,97.75,40.44444,1,0,26,2,,2,3,100,,,,,,,,,,,,,,,,,,
R_06DwEbWgRePkTrb,11.5,47.11111,0,0,66,2,84,3,3,4,,,,,,,,,,,,,,,,,,
R_06PNGmWEfvZdUm5,84.5,67.44444,1,1,56,3,51,5,6,99,,,,,,,,,,,,,,,,,,
R_06WzquOUKXYi6xr,89.5,86.77778,1,8,38,4,16,8,7,76,,,,,,,,,,,,,,,,,,
R_07EO71dYNUz178d,93.75,50.33333,1,4,41,4,81,6,8,81,,,,,,,,,,,,,,,,,,
R_07G84KntC2QI3jX,93.75,94.88889,1,8,68,2,80,2,4,90,,,,,,,,,,,,,,,,,,
R_07iQbqQF0OuCOMF,64,68.22222,1,3,22,5,73,5,4,75,,,,,,,,,,,,,,,,,,
R_07mUQBF3OdqEzhn,100,100,1,0,48,3,52,5,5,62,,,,,,,,,,,,,,,,,,
R_07XtvnAsRPgr3CV,99,98.88889,,8,67,2,53,4,5,50,,,,,,,,,,,,,,,,,,
R_085h38XMkAvnkit,94.25,93.88889,1,0,38,3,89,6,7,93,,,,,,,,,,,,,,,,,,
R_08mfHNBsv48pD7X,93.5,92.88889,1,8,40,3,92,7,10,97,,,,,,,,,,,,,,,,,,
R_08Pyr4oMUB03qo1,79.75,81.77778,0,8,44,3,91,6,8,88,,,,,,,,,,,,,,,,,,
R_08R57MM9GasEYlX,71.75,50.44444,1,3,55,3,62,4,7,60,,,,,,,,,,,,,,,,,,
R_09teTL7YWo60HJf,66.5,58.44444,0,8,75,4,12,4,6,86,,,,,,,,,,,,,,,,,,
